"global_concept_number","industry_order","industry_name","internal_concept_type","concept_number_in_section","user_facing_video_style","concept_title","concept_raw_text","source_file","source_batch","is_active"
"1","1","מסעדנות ואוכל","עדות יום אמיתי","1","ugc","לקחתי את זה ליום שלם","UGC type: עדות יום אמיתי | Use when: מתאים ל-מסעדה, בית קפה, בר, שווארמייה, פיצרייה, המבורגרייה, מאפייה, קייטרינג או מותג אוכל מקומי כשרוצים לקדם מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של לפני הזמנה, עם דגש על הטעם מרגיש מושקע. | Video structure: פתיחה סלפי/POV בסיטואציה של לפני הזמנה, בלי להרגיש כמו פרסומת | שוט ראשון: פתיחת אריזה/שולחן, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: הזמנה בקופה, שמוכיח/מדגים ש-הטעם מרגיש מושקע | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך לפני הזמנה, ומראה דרך צילום פשוט ש-הטעם מרגיש מושקע. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות שמחפשים מקום טעים, נגיש ולא מתאמץ מדי ונותן תחושה ש-החוויה מרגישה יותר אישית מרשת, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"2","1","מסעדנות ואוכל","עדות יום אמיתי","2","ugc","זה התחיל כניסיון קטן","UGC type: עדות יום אמיתי | Use when: מתאים ל-מסעדה, בית קפה, בר, שווארמייה, פיצרייה, המבורגרייה, מאפייה, קייטרינג או מותג אוכל מקומי כשרוצים לקדם מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של בדרך לעבודה, עם דגש על זה נראה טוב גם בלי פילטר. | Video structure: פתיחה סלפי/POV בסיטואציה של בדרך לעבודה, בלי להרגיש כמו פרסומת | שוט ראשון: ביס ראשון, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: הגעה למקום, שמוכיח/מדגים ש-זה נראה טוב גם בלי פילטר | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך בדרך לעבודה, ומראה דרך צילום פשוט ש-זה נראה טוב גם בלי פילטר. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות שמחפשים מקום טעים, נגיש ולא מתאמץ מדי ונותן תחושה ש-אפשר לבוא ספונטנית, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"3","1","מסעדנות ואוכל","עדות יום אמיתי","3","ugc","הפריט שעבר איתי יום עמוס","UGC type: עדות יום אמיתי | Use when: מתאים ל-מסעדה, בית קפה, בר, שווארמייה, פיצרייה, המבורגרייה, מאפייה, קייטרינג או מותג אוכל מקומי כשרוצים לקדם מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של בהפסקת צהריים, עם דגש על המנה משביעה בלי להכביד. | Video structure: פתיחה סלפי/POV בסיטואציה של בהפסקת צהריים, בלי להרגיש כמו פרסומת | שוט ראשון: קאט למנה מקרוב, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: מבט על השולחן, שמוכיח/מדגים ש-המנה משביעה בלי להכביד | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך בהפסקת צהריים, ומראה דרך צילום פשוט ש-המנה משביעה בלי להכביד. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות שמחפשים מקום טעים, נגיש ולא מתאמץ מדי ונותן תחושה ש-המנות מצטלמות טבעי, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"4","1","מסעדנות ואוכל","עדות יום אמיתי","4","ugc","חשבתי שאשתמש בזה פעם אחת","UGC type: עדות יום אמיתי | Use when: מתאים ל-מסעדה, בית קפה, בר, שווארמייה, פיצרייה, המבורגרייה, מאפייה, קייטרינג או מותג אוכל מקומי כשרוצים לקדם מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של בדייט קטן, עם דגש על המחיר מרגיש הגיוני ביחס למה שמקבלים. | Video structure: פתיחה סלפי/POV בסיטואציה של בדייט קטן, בלי להרגיש כמו פרסומת | שוט ראשון: הזמנה בקופה, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: בחירת מנה מהתפריט, שמוכיח/מדגים ש-המחיר מרגיש הגיוני ביחס למה שמקבלים | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך בדייט קטן, ומראה דרך צילום פשוט ש-המחיר מרגיש הגיוני ביחס למה שמקבלים. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות שמחפשים מקום טעים, נגיש ולא מתאמץ מדי ונותן תחושה ש-יש משהו שמתאים גם לבררנים, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"5","1","מסעדנות ואוכל","עדות יום אמיתי","5","ugc","בדיקת יום רגיל","UGC type: עדות יום אמיתי | Use when: מתאים ל-מסעדה, בית קפה, בר, שווארמייה, פיצרייה, המבורגרייה, מאפייה, קייטרינג או מותג אוכל מקומי כשרוצים לקדם מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של בסוף יום ארוך, עם דגש על החוויה מרגישה יותר אישית מרשת. | Video structure: פתיחה סלפי/POV בסיטואציה של בסוף יום ארוך, בלי להרגיש כמו פרסומת | שוט ראשון: הגעה למקום, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: חצי מנה שנעלמה, שמוכיח/מדגים ש-החוויה מרגישה יותר אישית מרשת | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך בסוף יום ארוך, ומראה דרך צילום פשוט ש-החוויה מרגישה יותר אישית מרשת. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות שמחפשים מקום טעים, נגיש ולא מתאמץ מדי ונותן תחושה ש-השירות מרגיש חם, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"6","1","מסעדנות ואוכל","עדות יום אמיתי","6","ugc","יום אחד בלי להחליף","UGC type: עדות יום אמיתי | Use when: מתאים ל-מסעדה, בית קפה, בר, שווארמייה, פיצרייה, המבורגרייה, מאפייה, קייטרינג או מותג אוכל מקומי כשרוצים לקדם מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של בישיבה עם חברים, עם דגש על אפשר לבוא ספונטנית. | Video structure: פתיחה סלפי/POV בסיטואציה של בישיבה עם חברים, בלי להרגיש כמו פרסומת | שוט ראשון: מבט על השולחן, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: צוות מכין מאחורי הקלעים, שמוכיח/מדגים ש-אפשר לבוא ספונטנית | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך בישיבה עם חברים, ומראה דרך צילום פשוט ש-אפשר לבוא ספונטנית. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות שמחפשים מקום טעים, נגיש ולא מתאמץ מדי ונותן תחושה ש-הפרטים הקטנים מורגשים, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"7","1","מסעדנות ואוכל","עדות יום אמיתי","7","ugc","מה נשאר איתי עד הערב","UGC type: עדות יום אמיתי | Use when: מתאים ל-מסעדה, בית קפה, בר, שווארמייה, פיצרייה, המבורגרייה, מאפייה, קייטרינג או מותג אוכל מקומי כשרוצים לקדם מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של אחרי אימון, עם דגש על המנות מצטלמות טבעי. | Video structure: פתיחה סלפי/POV בסיטואציה של אחרי אימון, בלי להרגיש כמו פרסומת | שוט ראשון: בחירת מנה מהתפריט, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: רגע של שקט לפני הביס, שמוכיח/מדגים ש-המנות מצטלמות טבעי | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך אחרי אימון, ומראה דרך צילום פשוט ש-המנות מצטלמות טבעי. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות שמחפשים מקום טעים, נגיש ולא מתאמץ מדי ונותן תחושה ש-הטעם מרגיש מושקע, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"8","1","מסעדנות ואוכל","עדות יום אמיתי","8","ugc","הדבר שלא הפריע לי כל היום","UGC type: עדות יום אמיתי | Use when: מתאים ל-מסעדה, בית קפה, בר, שווארמייה, פיצרייה, המבורגרייה, מאפייה, קייטרינג או מותג אוכל מקומי כשרוצים לקדם מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של ביום גשום, עם דגש על יש משהו שמתאים גם לבררנים. | Video structure: פתיחה סלפי/POV בסיטואציה של ביום גשום, בלי להרגיש כמו פרסומת | שוט ראשון: חצי מנה שנעלמה, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: פתיחת אריזה/שולחן, שמוכיח/מדגים ש-יש משהו שמתאים גם לבררנים | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך ביום גשום, ומראה דרך צילום פשוט ש-יש משהו שמתאים גם לבררנים. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות שמחפשים מקום טעים, נגיש ולא מתאמץ מדי ונותן תחושה ש-זה נראה טוב גם בלי פילטר, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"9","1","מסעדנות ואוכל","עדות יום אמיתי","9","ugc","יצא איתי מהבית וחזר איתי הביתה","UGC type: עדות יום אמיתי | Use when: מתאים ל-מסעדה, בית קפה, בר, שווארמייה, פיצרייה, המבורגרייה, מאפייה, קייטרינג או מותג אוכל מקומי כשרוצים לקדם מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של לפני יציאה, עם דגש על השירות מרגיש חם. | Video structure: פתיחה סלפי/POV בסיטואציה של לפני יציאה, בלי להרגיש כמו פרסומת | שוט ראשון: צוות מכין מאחורי הקלעים, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: ביס ראשון, שמוכיח/מדגים ש-השירות מרגיש חם | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך לפני יציאה, ומראה דרך צילום פשוט ש-השירות מרגיש חם. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות שמחפשים מקום טעים, נגיש ולא מתאמץ מדי ונותן תחושה ש-המנה משביעה בלי להכביד, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
"10","1","מסעדנות ואוכל","עדות יום אמיתי","10","ugc","הבדיקה הכי לא רשמית","UGC type: עדות יום אמיתי | Use when: מתאים ל-מסעדה, בית קפה, בר, שווארמייה, פיצרייה, המבורגרייה, מאפייה, קייטרינג או מותג אוכל מקומי כשרוצים לקדם מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי דרך עדות עצמית או המלצה טבעית. | Focus fit: עובד טוב כשהפוקוס הוא מנה חדשה, קינוח, עסקית צהריים, קוקטייל, תפריט ערב, מגש אירוח או ספיישל עונתי או מסר כמו השקה, מבצע, שירות חדש, תוצאה, חוויה או יתרון נקודתי. | Built-in hook: לקחתי את [specific_product] ליום רגיל לגמרי, ורציתי לבדוק אם זה באמת מחזיק מעבר לתמונה יפה. | Core idea: היוצר/ת מתעד/ת יום רגיל שבו [specific_product] משתלב בכמה רגעים אמיתיים, בלי להציג אותו כמושלם מדי. בתוך סיטואציה של בסופ״ש, עם דגש על הפרטים הקטנים מורגשים. | Video structure: פתיחה סלפי/POV בסיטואציה של בסופ״ש, בלי להרגיש כמו פרסומת | שוט ראשון: רגע של שקט לפני הביס, כדי להראות שימוש אמיתי ב-[specific_product] | שוט שני: קאט למנה מקרוב, שמוכיח/מדגים ש-הפרטים הקטנים מורגשים | משפט אישי קצר שמחבר את [special_focus] לחוויה של [audience] | סיום עם מסקנה רגועה והמלצה טבעית לבדוק את [business_name] | Body template: היוצר/ת מתייחס/ת ל-[specific_product] כחלק מרגע יומיומי אמיתי, בודק/ת אותו דרך בסופ״ש, ומראה דרך צילום פשוט ש-הפרטים הקטנים מורגשים. במקום למכור, הסרטון נותן תחושה של ניסיון אישי והמלצה שנולדה משימוש אמיתי. | CTA template: אם חיפשת משהו שמתאים ל-לקוחות שמחפשים מקום טעים, נגיש ולא מתאמץ מדי ונותן תחושה ש-המחיר מרגיש הגיוני ביחס למה שמקבלים, שווה לבדוק את [business_name] ואת [special_focus]. | Psychology: עדות עצמית, הוכחת שימוש, אמינות יומיומית | Filming style: צילום אייפון אנכי, סלפי/POV, תאורה טבעית, עריכה קצרה, משפטים יומיומיים, בלי קריינות שיווקית מוגזמת. | Adaptation rule: להחליף את [business_name], [specific_product], [special_focus], [audience], [location] לפי העסק; לשמור על מבנה עדות אישית ולא להפוך לפרסומת ישירה.","briefi_ugc_conceptbank_1000.csv","1000_UGC_Briefi_10_display_clean","true"
